Parcelamento
"30/60 DD acima de R$ 600,00"
"30/60/90 DD acima de R$ 900,00"
"30/60/90/120 DD acima de R$ 1.200,00"
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02650 - 004,Imp.,TOLEDO,"84,94",SC,"1,40",MET,506,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02652 - 002,Imp.,MIAMI,"57,24",SC,"1,40",MET,230,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02652 - 003,Imp.,MIAMI,"57,24",SC,"1,40",MET,230,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02652 - 005,Imp.,MIAMI,"57,24",SC,"1,40",MET,230,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02652 - 006,Imp.,MIAMI,"57,24",SC,"1,40",MET,230,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02652 - 007,Imp.,MIAMI,"57,24",SC,"1,40",MET,230,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02652 - 008,Imp.,MIAMI,"57,24",SC,"1,40",MET,230,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02652 - 009,Imp.,MIAMI,"57,24",SC,"1,40",MET,230,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02654 - 004,Imp.,DUBAI,"35,47",SC,"1,40",MET,220,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02655 - 003,Imp.,PANAMA,"59,33",SC,"1,45",MET,240,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02655 - 004,Imp.,PANAMA,"59,33",SC,"1,45",MET,240,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02656 - 002,Imp.,LUCENA,"119,89",SC,"1,45",MET,340,58013600,T 32 SLIM,
02656 - 004,Imp.,LUCENA CINZA,"119,89",SC,"1,45",MET,340,58013600,T 32 SLIM,
02657,Imp.,BOTERO,"92,54",,"1,38",MET,580,39211200,T 32 SLIM,
02658,Imp.,KLIMT,"52,11",,"1,45",MET,434,54075210,T 32 SLIM,
02658 - 008,Imp.,KLIMT,"52,11",SC,"1,45",MET,434,54075210,T 32 SLIM,
02659,Imp.,POLLOCK,"60,73",,"1,40",MET,364,60019200,T 32 SLIM,
02659 - 004,Imp.,POLLOCK,"60,73",SC,"1,40",MET,364,60019200,T 32 SLIM,
02660 - 002,Imp.,SEGALL,"43,96",SC,"1,40",MET,434,54075210,T 32 SLIM,
02660 - 003,Imp.,SEGALL,"43,96",SC,"1,40",MET,434,54075210,T 32 SLIM,
02660 - 004,Imp.,SEGALL,"43,96",SC,"1,40",MET,434,54075210,T 32 SLIM,
02660 - 006,Imp.,SEGALL,"43,96",SC,"1,40",MET,434,54075210,T 32 SLIM,
02660 - 007,Imp.,SEGALL,"43,96",SC,"1,40",MET,434,54075210,T 32 SLIM,
02661,Imp.,MONDRIAN,"73,02",,"1,40",MET,395,54075210,T 32 SLIM,
02662 - 002,Imp.,CANELETTO,"61,94",SC,"1,40",MET,378,60019200,T 32 SLIM,
02662 - 003,Imp.,CANELETTO,"61,94",SC,"1,40",MET,378,60019200,T 32 SLIM,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02662 - 005,Imp.,CANELETTO,"61,94",SC,"1,40",MET,378,60019200,T 32 SLIM,
02662 - 007,Imp.,CANELETTO,"61,94",SC,"1,40",MET,378,60019200,T 32 SLIM,
02662 - 008,Imp.,CANELETTO,"61,94",SC,"1,40",MET,378,60019200,T 32 SLIM,
02664,Imp.,DUNQUERQUE,"175,38",,"1,45",MET,510,55169300,T 32 SLIM,
02665 - 002,Imp.,CHICAGO,"118,43",SC,"1,40",MET,550,60053900,T 32 SLIM,
02665 - 003,Imp.,CHICAGO,"118,43",SC,"1,40",MET,550,60053900,T 32 SLIM,
02666 - 002,Imp.,SALERMO,"46,84",SC,"1,40",MET,550,59032000,T 32 SLIM,
02666 - 003,Imp.,SALERMO,"46,84",SC,"1,40",MET,550,59032000,T 32 SLIM,
02668,Imp.,BLACK OUT 100 % TECIDO DUPLA FACE,"74,59",,"2,80",MET,630,54075210,2668 HANGER BK DP,
02670 - 002,Nac.,SQUARE ARRASTÃO BRANCO,"108,13",SC,"3,00",MET,430,54075210,C 09 2024,
02670 - 003,Nac.,SQUARE ARRASTÃO FENDI,"108,13",SC,"3,00",MET,430,54075210,C 09 2024,
02670 - 004,Nac.,SQUARE ARRASTÃO CINZA,"108,13",SC,"3,00",MET,430,54075210,C 09 2024,
02670 - 005,Nac.,SQUARE ARRASTÃO CASTANHO,"108,13",SC,"3,00",MET,430,54075210,C 09 2024,
02670 - 006,Nac.,SQUARE ARRASTÃO PRETO,"108,13",SC,"3,00",MET,430,54075210,C 09 2024,
02671 - 002,Nac.,X ARRASTÃO BRANCO,"38,77",SC,"3,00",MET,530,54075210,C 09 2022,
02671 - 004,Nac.,X ARRASTÃO CINZA,"38,77",SC,"3,00",MET,530,54075210,C 09 2022,
02671 - 006,Nac.,X ARRASTÃO PRETO,"38,77",SC,"3,00",MET,530,54075210,C 09 2022,
02672 - 004,Nac.,LINK ARRASTÃO CINZA,"44,89",SC,"3,00",MET,630,54075210,C 09 2022,
02673 - 005,Nac.,GAZE FLAME,"63,67",SC,"3,00",MET,297,54075210,C 09 2022,
02680 - 002,Imp.,LINHO FANCY NATURAL,"56,34",SC,"3,00",MET,336,54079300,C 09 2024,
02681 - 003,Imp.,VOIL CREPADO  CINZA FECHADO,"28,28",SC,"3,00",MET,255,54075210,C 09 2024,
02682 - 002,Imp.,LINHO FLAT - NATURAL,"40,45",SC,"3,00",MET,364,5515.12.00,C 09 2024,
02682 - 003,Imp.,LINHO FLAT - CINZA,"40,45",SC,"3,00",MET,364,5515.12.00,C 09 2024,
02683,Imp.,LINHO NATURE -LINEN,"50,05",,"3,00",MET,378,54075300,C 11 2026 GENTILE,
02684,Imp.,LINHO FLAME - NATURAL,"52,53",,"3,00",MET,560,54076100,C 11 2026 GENTILE,
02686 - 001,Imp.,BLACK OUT DARKEN BRANCO,"85,06",SC,"2,80",MET,504,54075210,C 09 2022,LAVAVEL
02687,Imp.,TRICOT BEGE,"135,26",,"3,00",MET,630,60053800,C 09 2024,
02688,Imp.,VOIL TRESSET,"59,66",,"2,80",MET,420,60053800,C 11 2026 GENTILE,
02689,Imp.,TELA RUSTICA TURQUIA,"50,82",,"3,00",MET,400,60053800,C 11 2026 GENTILE,
02692,Imp.,BRISA,"57,47",,"3,00",MET,464,54076100,C 11 2026 GENTILE,
02693,Imp.,FRESH LINHO,"64,72",,"3,00",MET,435,54079300,C 11 2026 GENTILE,
02694 - 001,Nac.,SOFT RUSTIC,"146,63",SC,"1,40",MET,455,54075300,E 12 IN N OUT,REPELENTE A LIQUIDOS
02695,Imp.,VOIL LINHÃO IGUAPE LINHO,"65,88",,"3,00",MET,480,54079300,C 09 2022,
02696 - 002,Imp.,VOIL LINHO NATIVE = 2812-02,"42,65",SC,"3,00",MET,300,55151200,C 09 2024,
02697,Imp.,VOIL LINHO PIPA,"53,61",,"3,00",MET,300,55151200,C 09 2022,
02698,Imp.,VOIL GAZE,"56,23",,"3,00",MET,300,55151100,C 11 2026 GENTILE,
02700,Imp.,VOIL BOTONE,"51,93",,"3,00",MET,495,54076100,C 11 2026 GENTILE,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02703 - 002,Imp.,SUED SOAVE 25,"358,71",SC,"1,40",MET,602,60019200,T 31 SKIN,PELETIZADO
02703 - 003,Imp.,SUED SOAVE 27,"358,71",SC,"1,40",MET,602,60019200,T 31 SKIN,PELETIZADO
02703 - 004,Imp.,SUED SOAVE 50,"358,71",SC,"1,40",MET,602,60019200,T 31 SKIN,PELETIZADO
02703 - 005,Imp.,SUED SOAVE 75,"358,71",SC,"1,40",MET,602,60019200,T 31 SKIN,PELETIZADO
02703 - 006,Imp.,SUED SOAVE 41,"358,71",SC,"1,40",MET,602,60019200,T 31 SKIN,PELETIZADO
02703 - 007,Imp.,SUED SOAVE 30,"358,71",SC,"1,40",MET,602,60019200,T 31 SKIN,PELETIZADO
02703 - 008,Imp.,SUED SOAVE 62,"358,71",SC,"1,40",MET,602,60019200,T 31 SKIN,PELETIZADO
02703 - 009,Imp.,SUED SOAVE 32,"358,71",SC,"1,40",MET,602,60019200,T 31 SKIN,PELETIZADO
02704,Imp.,SKIN PELLA 31,"233,05",,"1,42",MET,500,60053900,T 31 SKIN,HIDROREPELENTE
02705,Imp.,SKIN RENNA 81,"328,47",,"1,42",MET,498,60053900,T 31 SKIN,
02707 - 002,Imp.,SKIN LORETO,"194,91",SC,"1,42",MET,511,60053900,T 31 SKIN,
02707 - 003,Imp.,SKIN LORETO,"194,91",SC,"1,42",MET,511,60053900,T 31 SKIN,
02708,Imp.,TAURUS 01,"673,03",,"1,38",MET,966,59032000,T 31 SKIN,
02709 - 003,Imp.,VERCELLI TAPPEZZERIA,"107,22",SC,"1,42",MET,388,54075300,T 29  EASY & CLEAN 2,EASY CLEAN
02709 - 004,Imp.,VERCELLI TAPPEZZERIA,"107,22",SC,"1,42",MET,388,54075300,T 29  EASY & CLEAN 2,EASY CLEAN
02710,Imp.,TRENTO TAPPEZZERIA 25,"115,95",,"1,47",MET,441,54075300,T 29  EASY & CLEAN 2,EASY CLEAN
02711,Imp.,POETTO TAPPEZZERIA 31,"181,82",,"1,45",MET,479,54075300,T 29  EASY & CLEAN 2,EASY CLEAN
02712 - 002,Imp.,SETTALA TAPPEZZERIA,"122,42",SC,"1,42",MET,426,60019200,T 29  EASY & CLEAN 2,EASY CLEAN
02712 - 003,Imp.,SETTALA TAPPEZZERIA,"122,42",SC,"1,42",MET,426,60019200,T 29  EASY & CLEAN 2,EASY CLEAN
02712 - 004,Imp.,SETTALA TAPPEZZERIA,"122,42",SC,"1,42",MET,426,60019200,T 29  EASY & CLEAN 2,EASY CLEAN
02712 - 005,Imp.,SETTALA TAPPEZZERIA,"122,42",SC,"1,42",MET,426,60019200,T 29  EASY & CLEAN 2,EASY CLEAN
02712 - 006,Imp.,SETTALA TAPPEZZERIA,"122,42",SC,"1,42",MET,426,60019200,T 29  EASY & CLEAN 2,EASY CLEAN
02712 - 007,Imp.,SETTALA TAPPEZZERIA,"122,42",SC,"1,42",MET,426,60019200,T 29  EASY & CLEAN 2,EASY CLEAN
02713,Nac.,ECOTEC NORONHA,"48,94",,"1,40",MET,262,52105100,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02714 - 002,Nac.,SUNSHINE NORONHA,"331,80",SC,"1,40",MET,587,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02714 - 003,Nac.,SUNSHINE NORONHA,"331,80",SC,"1,40",MET,587,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02714 - 004,Nac.,SUNSHINE NORONHA,"331,80",SC,"1,40",MET,587,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02714 - 006,Nac.,SUNSHINE NORONHA,"331,80",SC,"1,40",MET,587,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02715,Imp.,ACRILICO LISO MUSGO,"484,78",,"1,60",MET,416,55122900,COLEÇÃO NORONHA,TEFLON
02716,Imp.,ACRILICO PANAMA MARFIM,"604,48",,"1,60",MET,448,55122900,COLEÇÃO NORONHA,TEFLON
02718 - 005,Nac.,SUNSHINE NORONHA,"401,58",SC,"1,40",MET,788,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02718 - 006,Nac.,SUNSHINE NORONHA,"401,58",SC,"1,40",MET,788,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02719 - 002,Nac.,SUNSHINE NORONHA,"237,31",SC,"1,40",MET,380,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02719 - 006,Nac.,SUNSHINE NORONHA,"237,31",SC,"1,40",MET,380,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02720 - 006,Nac.,SUNSHINE NORONHA,"331,80",SC,"1,40",MET,587,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02722 - 005,Nac.,SUNSHINE NORONHA,"292,16",SC,"1,40",MET,485,54075300,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02723,Nac.,NAUTICO 4074,"96,90",,"1,40",MET,644,59031000,COLEÇÃO NORONHA,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02725,Nac.,NAUTICO 3020 SAN DIEGO,"96,90",,"1,40",MET,644,59031000,COLEÇÃO NORONHA,
02726,Nac.,ATHENAS NÁUTICO 4702,"96,90",,"1,40",MET,644,59031000,COLEÇÃO NORONHA,
02727,Nac.,COLONIA NAUTICO 4739,"101,54",,"1,40",MET,644,59031000,COLEÇÃO NORONHA,
02727,Nac.,COLONIA NAUTICO 4739,"101,54",,"1,40",MET,644,59031000,COLEÇÃO NORONHA,
02728,Nac.,CETIM NAUTICO 4033,"98,05",,"1,40",MET,644,59031000,COLEÇÃO NORONHA,
02729 - 001,Nac.,RUSTICO LINEM,"66,17",SC,"3,00",MET,470,54078200,C 09 2022,
02730 - 003,Nac.,RUSTICO CHANNEL,"71,93",SC,"3,00",MET,422,54078200,C 09 2024,
02730 - 004,Nac.,RUSTICO CHANNEL PRATA,"71,93",SC,"3,00",MET,422,54078200,C 09 2024,
02731,Imp.,GAZE LIGHT,"27,67",,"3,00",MET,295,55151200,2731 HANGER GZ LIGHT,
02732,Nac.,NASSAU LINEN ESTAMPADO,"149,26",,"1,40",MET,596,52122300,E 14  NASSAU,REPELENTE A LIQUIDOS
02733,Nac.,NASSAU LINEN ESTAMPADO,"149,26",,"1,40",MET,596,52122300,E 14  NASSAU,REPELENTE A LIQUIDOS
02734,Nac.,NASSAU LINEN ESTAMPADO,"149,26",,"1,40",MET,596,52122300,E 14  NASSAU,REPELENTE A LIQUIDOS
02735,Nac.,NASSAU LINEN ESTAMPADO,"149,26",,"1,40",MET,596,52122300,E 14  NASSAU,REPELENTE A LIQUIDOS
02735,Nac.,NASSAU LINEN ESTAMPADO,"149,26",,"1,40",MET,596,52122300,E 14  NASSAU,REPELENTE A LIQUIDOS
02735,Nac.,NASSAU LINEN ESTAMPADO,"149,26",,"1,40",MET,596,52122300,E 14  NASSAU,REPELENTE A LIQUIDOS
02736,Nac.,NASSAU COTTON,"88,54",,"1,40",MET,361,52081200,E 14  NASSAU,REPELENTE A LIQUIDOS
02737,Nac.,NASSAU COTTON,"88,54",,"1,40",MET,361,52081200,E 14  NASSAU,REPELENTE A LIQUIDOS
02737,Nac.,NASSAU COTTON,"88,54",,"1,40",MET,361,52081200,E 14  NASSAU,REPELENTE A LIQUIDOS
02737,Nac.,NASSAU COTTON,"88,54",,"1,40",MET,361,52081200,E 14  NASSAU,REPELENTE A LIQUIDOS
02738,Nac.,NASSAU LINE CRU,"122,26",,"1,40",MET,596,52122100,E 14  NASSAU,REPELENTE A LIQUIDOS
02740,Nac.,NASSAU LINE,"115,98",,"1,40",MET,596,52122100,E 14  NASSAU,REPELENTE A LIQUIDOS
02741,Imp.,BOUCLET STELLA 100,"304,19",,"1,40",MET,770,58013600,2741 HANGER BOUCLET,
02742,Imp.,GAZE BESS SOFT,"36,72",,"3,00",MET,246,55151200,2742  HANGER GZ SOFT,
02742 - 016,Imp.,GAZE BESS SOFT CHUMBO,"36,72",SC,"3,00",MET,246,55151200,2742  HANGER GZ SOFT,
02743,Nac.,PIQUET ALGODÃO PQ,"122,35",,"1,30",MET,336,52084200,T 24 CARE,
02744,Nac.,PIQUET ALGODÃO GD,"122,35",,"1,30",MET,412,52084200,T 24 CARE,
02745,Imp.,GAZE RUSTICA BESS 2626-02,"57,84",,"3,00",MET,600,55121100,2745 HANGER GZ LINHO,
02747 - 001,Imp.,BK FOSCO BRANCO BRANCO 50 %,"45,68",SC,"2,80",MET,560,54075300,C 09 2024,
02748,Nac.,LISATO BRANCO,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02748 - 007,Nac.,LISATO VERMELHO,"70,07",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02748 - 014,Nac.,LISATO ESMERALDA,"70,07",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02750,Nac.,BANANEIRA BRANCO,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02750 - 003,Nac.,BANANEIRA ESMERALDA,"70,07",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02751,Nac.,PALMARES BEGE,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02752 - 002,Nac.,POENTE,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02753,Nac.,CANA DE AÇUCAR,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02755 - 002,Nac.,PLANTAS FUNDO AZUL,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02756,Nac.,COSTELA DE ADÃO VERDE,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02757 - 002,Nac.,TRANCOSO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02759,Nac.,MARANTA BEGE,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02760,Imp.,BLACK OUT 100 % TECIDO BRANCO / BRANCO,"45,51",,"2,80",MET,504,54075210,C 11 2026 GENTILE,
02761,Nac.,SAVANA,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02762 - 002,Nac.,GOIABA,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02763 - 001,Nac.,SALADA DE FRUTAS,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02764 - 001,Nac.,BANANA,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02765 - 001,Nac.,ANTÚRIO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02766 - 001,Nac.,FRUTAS DA ESTAÇÃO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02767 - 001,Nac.,IPE FUNDO BRANCO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02767 - 002,Nac.,IPE FUNDO PRETO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02768 - 001,Nac.,CREARE,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02769,Nac.,HIBISCO,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02770 - 001,Nac.,TROPICANA CINZA,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02771,Nac.,MAUI PRETO,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02772 - 002,Nac.,CEDRO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02773 - 002,Nac.,RATAN,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02774,Nac.,LINHÃO BEGE,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02775 - 002,Nac.,MALVA FENDI,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02775 - 003,Nac.,MALVA OLIVA,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02776,Nac.,ARTESANAL,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02777,Nac.,LISTRADO MARINHO,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02777 - 006,Nac.,LISTRADO PRETO,"70,07",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02778 - 002,Nac.,LISTRAS NÁUTICO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02780 - 002,Nac.,CONCHAS,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02781,Nac.,NAUTICAL MARINHO,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02782,Nac.,ALANTA,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02783 - 002,Nac.,CORDATO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02784,Nac.,MAR LISTRADO,"70,07",,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02785 - 002,Nac.,VIDEIRA CINZA,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02786 - 002,Nac.,REGIA MARINHO,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02786 - 003,Nac.,REGIA CAMURÇA,"64,32",SC,"1,40",MET,205,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02787 - 002,Imp.,KOURO ECO FLAT,"124,38",SC,"1,38",MET,1010,59031000,2787 HANGER ECO FLAT,REPELENTE A LIQUIDOS
02787 - 007,Imp.,KOURO ECO FLAT DUNA,"124,38",SC,"1,38",MET,1010,59031000,2787 HANGER ECO FLAT,REPELENTE A LIQUIDOS
02788,Imp.,LINHO ALLEN,"44,31",,"1,45",MET,616,54076900,T 34 RUSTIC,
02789,Imp.,LINHO BROOKS,"47,54",,"1,45",MET,602,54075300,T 34 RUSTIC,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02791,Imp.,"DURANGO 0,8 MM","44,31",,"1,40",MET,535,59031000,T 34 RUSTIC,
02792,Imp.,LINHO CARTER,"44,36",,"1,45",MET,464,54075300,T 34 RUSTIC,
02793,Imp.,LINHO COLLINS OFF WHITE,"45,46",,"1,45",MET,464,54076900,T 34 RUSTIC,
02794 - 002,Imp.,TRAMA CLARCK,"77,81",SC,"1,40",MET,420,55169200,T 34 RUSTIC,
02794 - 003,Imp.,TRAMA CLARCK,"77,81",SC,"1,40",MET,420,55169200,T 34 RUSTIC,
02794 - 004,Imp.,TRAMA CLARCK,"77,81",SC,"1,40",MET,420,55169200,T 34 RUSTIC,
02794 - 005,Imp.,TRAMA CLARCK,"77,81",SC,"1,40",MET,420,55169200,T 34 RUSTIC,
02794 - 006,Imp.,TRAMA CLARCK,"77,81",SC,"1,40",MET,420,55169200,T 34 RUSTIC,
02794 - 007,Imp.,TRAMA CLARCK,"77,81",SC,"1,40",MET,420,55169200,T 34 RUSTIC,
02795,Imp.,BOUCLET SOFT,"69,87",,"1,40",MET,566,54075210,T 34 RUSTIC,
02797,Imp.,RUSTICO VAT,"114,06",,"1,44",MET,504,54075300,T 35 TEXTURA I,
02798,Imp.,TECIDO LYON NATURAL,"109,74",,"1,44",MET,468,54075300,T 35 TEXTURA I,REPELENTE A LIQUIDOS
02798,Imp.,TECIDO LYON,"109,74",,"1,44",MET,468,54075300,T 35 TEXTURA I,REPELENTE A LIQUIDOS
02799,Nac.,LINO CAMBRAIA,"362,09",,"2,95",MET,398,53092900,2799 HANGER L CAM,PRÉ ENCOLHIDO
02800,Nac.,LINO COTTONE,"119,39",,"2,95",MET,400,52121400,C 11 2026 GENTILE,PRÉ ENCOLHIDO
02801,Nac.,LINO NATURALE,"215,46",,"2,95",MET,320,52121400,C 11 2026 GENTILE,PRÉ ENCOLHIDO
02802,Imp.,BOUCLET,"44,57",,"1,45",MET,464,54075300,T 34 RUSTIC,
02803 - 001,Imp.,RUSTICO BENSON,"43,88",SC,"1,45",MET,348,54075300,T 34 RUSTIC,
02803 - 002,Imp.,BENSON  NATA,"43,88",SC,"1,45",MET,348,54075300,T 34 RUSTIC,
02803 - 003,Imp.,BENSON  AMENDOA,"43,88",SC,"1,45",MET,348,54075300,T 34 RUSTIC,
02803 - 004,Imp.,BENSON  GRANITO,"43,88",SC,"1,45",MET,348,54075300,T 34 RUSTIC,
02804,Imp.,RUSTICO CLARK,"40,95",,"1,45",MET,304,54075300,T 34 RUSTIC,
02805,Imp.,RUSTICO TRECK,"36,69",,"1,40",MET,364,54075210,T 40 ATLAS,
02806,Imp.,TENDA 101 ALVEJADO,"178,21",,"3,00",MET,720,54075300,C 11 2026 GENTILE,
02807,Imp.,GAZE LISTADA TURIN,"68,80",,"3,00",MET,435,54076100,C 11 2026 GENTILE,
02809,Imp.,TRAMA SOFT BERLIN,"118,66",,"3,00",MET,600,54076100,C 11 2026 GENTILE,
02811,Imp.,BLACK OUT  PREMIUM 100 % BRANCO PURO,"80,55",,"2,80",MET,720,54075210,C 11 2026 GENTILE,LAVAVEL
02812,Imp.,LINHO ARIAM = 2696-02,"42,65",,"3,00",MET,300,55151200,2812 ARIAM,
02814,Imp.,TRAMA MARANELO,"74,10",,"3,00",MET,459,54079300,2814 MARANELO,
02815,Imp.,TRAMA PANAMA,"96,65",,"2,80",MET,1120,60053700,2815 PANAMA,
02816,Imp.,CREPE CAÍRO OFF WHITE,"38,43",,"3,00",MET,360,54075100,2816 CAIRO,
02817,Imp.,LINHO JACARTA = 2461-01,"49,10",,"3,00",MET,360,55151200,2817 JACARTA,
02818,Nac.,CEZANE,"132,01",,"2,90",MET,739,55151900,C 09 2024,
02819,Nac.,CANOVA,"159,62",,"2,90",MET,690,52103100,C 09 2024,
02820,Nac.,CHAGALL,"69,08",,"2,90",MET,335,52101990,C 09 2024,
02821,Nac.,MIRÓ,"65,86",,"2,90",MET,308,54078200,C 11 2026 GENTILE,
02822,Nac.,MATISSE,"69,08",,"2,90",MET,353,52101990,C 09 2024,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02824,Nac.,MICHELANGELO,"106,49",,"2,90",MET,439,52111100,C 09 2024,
02825,Nac.,KAPOOR,"79,00",,"2,90",MET,720,52101100,C 09 2024,
02826,Nac.,MONET,"109,45",,"2,90",MET,385,55151900,C 09 2024,
02827,Nac.,DONATELLO,"47,33",,"2,90",MET,284,54078200,C 11 2026 GENTILE,
02828,Nac.,DA VINCE,"94,86",,"2,90",MET,582,54075100,C 11 2026 GENTILE,
02829,Nac.,DALI,"51,62",,"2,90",MET,392,52103100,C 11 2026 GENTILE,
