Parcelamento
"30/60 DD acima de R$ 600,00"
"30/60/90 DD acima de R$ 900,00"
"30/60/90/120 DD acima de R$ 1.200,00"
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02101 - 010,Nac.,PANAMA TINTURE,"31,88",SC,"1,40",MET,432,54078300,T 18,
02101 - 012,Nac.,PANAMA TINTURE,"31,88",SC,"1,40",MET,432,54078300,T 18,
02102 - 001,Nac.,FLAME CANADIAN,"47,82",SC,"1,40",MET,380,52114100,T 18,
02103 - 003,Nac.,PANAMA NAPOLE,"47,82",SC,"1,40",MET,475,54078300,T 18,
02108 - 001,Nac.,LONA LINHO FIORDE,"47,82",SC,"1,40",MET,438,52094100,T 18,
02108 - 002,Nac.,LONA LINHO FIORDE,"47,82",SC,"1,40",MET,438,52094100,T 18,
02109,Nac.,PANAMA BORGO,"73,33",,"1,40",MET,293,52094900,T 32 SLIM,
02109 - 001,Nac.,PANAMA BORGO,"73,33",SC,"1,40",MET,293,52094900,T 18,
02110 - 002,Nac.,PANAMA SUBSTANCE,"47,82",SC,"1,40",MET,354,54078300,T 18,
02111 - 001,Nac.,PANAMA BURNISH,"47,82",SC,"1,40",MET,543,54078300,T 18,
02111 - 002,Nac.,PANAMA BURNISH,"47,82",SC,"1,40",MET,543,54078300,T 18,
02112,Nac.,LONA RIBBON,"113,18",,"1,40",MET,506,52114100,T 32 SLIM,
02115 - 001,Nac.,PANAMA ARREDI,"118,59",SC,"1,40",MET,532,52114290,T 32 SLIM,
02151,Imp.,BLACK OUT PRIME,"139,74",,"2,80",MET,829,59031000,C 11 2026 GENTILE,LAVAVEL
02155,Nac.,SOLARIS TINTO,"125,79",,"1,40",MET,321,54075210,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02155 - 005,Nac.,SOLARIS TINTO,"125,79",SC,"1,40",MET,321,54075210,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02155 - 006,Nac.,SOLARIS TINTO,"125,79",SC,"1,40",MET,321,54075210,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02155 - 008,Nac.,SOLARIS TINTO,"125,79",SC,"1,40",MET,321,54075210,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02155 - 010,Nac.,SOLARIS TINTO,"125,79",SC,"1,40",MET,321,54075210,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02155 - 012,Nac.,SOLARIS TINTO,"125,79",SC,"1,40",MET,288,54075400,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02158 - 009,Nac.,SOLEIL ESTAMPADO,"30,74",SC,"1,40",MET,316,52081200,E 08,REPELENTE A LIQUIDOS
02160,Nac.,MARESIA TINTO,"161,94",,"1,40",MET,416,54075210,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02160 - 001,Nac.,MARESIA TINTO,"161,94",SC,"1,40",MET,416,54075210,E 12 IN N OUT,REPELENTE A LIQUIDOS
02160 - 002,Nac.,MARESIA TINTO,"161,94",SC,"1,40",MET,416,54075210,E 12 IN N OUT,REPELENTE A LIQUIDOS
02161 - 005,Nac.,SOLEIL ESTAMPADO,"46,11",SC,"1,40",MET,316,52081200,E 08,REPELENTE A LIQUIDOS
02175,Nac.,MARESIAS ESTAMPADO EX,"163,59",,"1,40",MET,316,52081200,COLEÇÃO NORONHA,REPELENTE A LIQUIDOS
02178 - 003,Imp.,VELUDO LONDRES,"139,97",SC,"1,40",MET,470,60019200,T 20,
02178 - 007,Imp.,VELUDO LONDRES,"139,97",SC,"1,40",MET,470,60019200,T 21,
02179,Imp.,VELUDO ONIX,"59,01",,"1,40",MET,360,60019200,T 40 ATLAS,REPELENTE A LIQUIDOS
02179 - 007,Imp.,VELUDO ONIX,"62,32",SC,"1,40",MET,360,60019200,T 22,
02180 - 001,Imp.,VELUDO GEORGIA,"26,56",SC,"1,40",MET,486,60019200,T 20,
02184 - 002,Imp.,KOURO SINT MALI,"29,52",SC,"1,40",MET,400,59031000,T 20,
02186 - 001,Imp.,PANAMA CAPRI,"30,15",SC,"1,40",MET,565,54075300,T 20,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02186 - 004,Imp.,PANAMA CAPRI,"30,15",SC,"1,40",MET,565,54075300,T 20,
02188 - 022,Imp.,VELUPLUS PG,"23,29",SC,"1,40",MET,210,60019200,T 20,
02188 - 023,Imp.,VELUPLUS PG,"23,29",SC,"1,40",MET,210,60019200,T 20,
02188 - 024,Imp.,VELUPLUS PG,"23,29",SC,"1,40",MET,210,60019200,T 20,
02190 - 001,Imp.,VELO BARI,"47,09",SC,"1,40",MET,420,54079300,T 20,
02191 - 005,Imp.,VELU BUGATTI,"30,74",SC,"1,40",MET,210,60019200,T 20,
02192 - 006,Imp.,VELU TURKEY,"31,67",SC,"1,40",MET,210,60019200,T 22,
02193 - 001,Imp.,PANAMA DEBRET,"29,11",SC,"1,40",MET,255,58013700,T 20,
02194 - 001,Imp.,PANAMA TARSILA,"29,11",SC,"1,40",MET,222,54075210,T 20,
02194 - 002,Imp.,PANAMA TARSILA,"29,11",SC,"1,40",MET,222,54075210,T 20,
02194 - 003,Imp.,PANAMA TARSILA,"29,11",SC,"1,40",MET,222,54075210,T 20,
02195,Imp.,LINHO VISCOSE CARAVAGGIO,"118,35",,"1,40",MET,594,55169300,T 40 ATLAS,
02196 - 002,Imp.,TECIDO LA CITE CINZA PET FRIENDLY,"75,58",SC,"1,40",MET,464,54075300,T 35 TEXTURA I,REPELENTE A LIQUIDOS
02197,Imp.,TECIDO SENNA PET FRIENDLY,"88,42",,"1,40",MET,435,54075210,T 35 TEXTURA I,REPELENTE A LIQUIDOS
02198,Imp.,LINHO MISTO PARATI,"69,25",,"3,00",MET,560,54079300,C 11 2026 GENTILE,
02203,Imp.,GAZE CAMBURI,"45,39",,"3,00",MET,271,55151900,C 11 2026 GENTILE,
02206 - 003,Nac.,LINHO MISTO,"173,74",SC,"3,00",MET,400,55159990,C 10,
02206 - 004,Nac.,LINHO MISTO,"173,74",SC,"3,00",MET,400,55159990,C 10,
02221,Nac.,ACQUA BLOCK,"70,07",,"1,40",MET,280,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02225,Nac.,ACQUA BLOCK,"70,07",,"1,40",MET,280,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02226,Nac.,ACQUA BLOCK,"70,07",,"1,40",MET,280,52115100,COLEÇÃO ACQUABLOC,REPELENTE A LIQUIDOS
02338 - 001,Imp.,BLACK OUT 100%,"76,48",SC,"2,80",MET,700,59031000,C 09 2024,LAVAVEL
